student_id,first_name,last_name,email,programme,mode,entry_year,entry_qualification,prior_avg_mark,created_at
53,George,Schmidt,uf2qd7@student.sunderland.ac.uk,MSc Computer Science with Cyber Security,FT,2025,International equivalent,66.2,2026-07-09T00:00:00Z
54,Andrei,Kowalski,y96nab@student.sunderland.ac.uk,MSc Computer Science with Cyber Security,FT,2025,2:1,64.0,2026-07-09T00:00:00Z
55,Mohammed,Mensah,c3ewai@student.sunderland.ac.uk,MSc Computer Science with Data Science,FT,2025,2:1,67.8,2026-07-09T00:00:00Z
56,Lukas,Okafor,l9g0qt@student.sunderland.ac.uk,MSc Cybersecurity,FT,2025,2:1,64.3,2026-07-09T00:00:00Z
57,Kwame,Hughes,nyxyb7@student.sunderland.ac.uk,MSc Computer Science,FT,2025,2:1,62.6,2026-07-09T00:00:00Z
58,Li,Kowalski,k0csfw@student.sunderland.ac.uk,MSc Applied Cybersecurity,FT,2025,2:1,66.7,2026-07-09T00:00:00Z
59,Maya,Park,t1c0ot@student.sunderland.ac.uk,MSc Computer Science,FT,2025,2:1,68.5,2026-07-09T00:00:00Z
60,Chinedu,Abubakar,vcbmbf@student.sunderland.ac.uk,MSc Computer Science,FT,2025,2:2,53.8,2026-07-09T00:00:00Z
61,Lucia,Abubakar,huo11i@student.sunderland.ac.uk,MSc Computer Science with Data Science,FT,2025,2:1,67.5,2026-07-09T00:00:00Z
62,Ngozi,Garcia,rw52sy@student.sunderland.ac.uk,MSc Computer Science with Data Science,FT,2025,First,79.5,2026-07-09T00:00:00Z
63,Aisha,Stewart,tglxfo@student.sunderland.ac.uk,MSc Data Science,FT,2025,2:1,57.2,2026-07-09T00:00:00Z
64,Li,Tanaka,x6eby1@student.sunderland.ac.uk,MSc Computer Science,FT,2025,First,85.4,2026-07-09T00:00:00Z
65,Aisha,Zhang,vryfww@student.sunderland.ac.uk,MSc Computer Science with Cyber Security,PT,2025,2:1,60.9,2026-07-09T00:00:00Z
66,Charlotte,Walker,abbgs2@student.sunderland.ac.uk,MSc Data Science,FT,2025,2:1,57.7,2026-07-09T00:00:00Z
67,Ethan,Doyle,qx2j5y@student.sunderland.ac.uk,MSc Cybersecurity,FT,2025,2:1,67.1,2026-07-09T00:00:00Z
68,Ananya,Diallo,pituse@student.sunderland.ac.uk,MSc Cybersecurity,FT,2025,2:1,65.1,2026-07-09T00:00:00Z
69,Olivia,Diallo,nfasmz@student.sunderland.ac.uk,MSc Computer Science with Cyber Security,FT,2025,First,69.5,2026-07-09T00:00:00Z
70,Andrei,Li,y2m1n4@student.sunderland.ac.uk,MSc Applied Cybersecurity,FT,2025,International equivalent,62.2,2026-07-09T00:00:00Z
71,Minh,Sato,iqo9xf@student.sunderland.ac.uk,MSc Data Science,FT,2025,2:1,63.3,2026-07-09T00:00:00Z
72,Sneha,Petrov,vvd5q5@student.sunderland.ac.uk,MSc Computer Science,FT,2025,International equivalent,61.3,2026-07-09T00:00:00Z
73,Lukas,Liu,iz70eo@student.sunderland.ac.uk,MSc Computer Science with Data Science,FT,2025,International equivalent,58.0,2026-07-09T00:00:00Z
74,Fatima,O'Brien,ir6n7k@student.sunderland.ac.uk,MSc Data Science,FT,2025,International equivalent,67.4,2026-07-09T00:00:00Z
75,Vikram,Okafor,re4gdj@student.sunderland.ac.uk,MSc Data Science,FT,2025,2:1,63.3,2026-07-09T00:00:00Z
76,Jack,Lopez,rhjpqv@student.sunderland.ac.uk,MSc Data Science,FT,2025,2:1,61.3,2026-07-09T00:00:00Z
77,Diego,Chowdhury,mtysy5@student.sunderland.ac.uk,MSc Computer Science with Data Science,FT,2025,First,71.5,2026-07-09T00:00:00Z
78,Diego,Diallo,fq909h@student.sunderland.ac.uk,MSc Computer Science,FT,2025,First,74.7,2026-07-09T00:00:00Z
79,Adam,Begum,syp4zb@student.sunderland.ac.uk,MSc Computer Science,FT,2025,2:1,61.4,2026-07-09T00:00:00Z
80,Andrei,Eze,p5s8kr@student.sunderland.ac.uk,MSc Data Science,FT,2025,2:1,64.8,2026-07-09T00:00:00Z
81,Sofia,Burns,p4w0rw@student.sunderland.ac.uk,MSc Computer Science,FT,2025,First,68.7,2026-07-09T00:00:00Z
82,Zara,Khan,v44x77@student.sunderland.ac.uk,MSc Applied Cybersecurity,PT,2025,2:1,64.9,2026-07-09T00:00:00Z
83,Kwame,Ali,rwo4xe@student.sunderland.ac.uk,MSc Data Science,FT,2025,2:1,71.6,2026-07-09T00:00:00Z
84,Andrei,Hussain,xpeb14@student.sunderland.ac.uk,MSc Applied Cybersecurity,FT,2025,International equivalent,60.0,2026-07-09T00:00:00Z
85,Sofia,Adeyemi,n2b64u@student.sunderland.ac.uk,MSc Computer Science with Data Science,FT,2025,2:1,67.1,2026-07-09T00:00:00Z
86,Yasmin,White,gmfhb0@student.sunderland.ac.uk,MSc Data Science,FT,2025,First,74.8,2026-07-09T00:00:00Z
87,Rohan,Liu,bgsh60@student.sunderland.ac.uk,MSc Computer Science,PT,2025,First,70.8,2026-07-09T00:00:00Z
88,Omar,Evans,y63ugq@student.sunderland.ac.uk,MSc Data Science,PT,2025,First,71.2,2026-07-09T00:00:00Z
89,Emeka,Ahmed,wxpgiw@student.sunderland.ac.uk,MSc Applied Cybersecurity,PT,2025,First,78.6,2026-07-09T00:00:00Z
90,Zara,Lopez,wahccl@student.sunderland.ac.uk,MSc Computer Science with Cyber Security,FT,2025,2:1,68.3,2026-07-09T00:00:00Z
91,Rafael,Sharma,ixei8y@student.sunderland.ac.uk,MSc Computer Science,FT,2025,2:2,50.1,2026-07-09T00:00:00Z
92,Oliver,Evans,di5mqx@student.sunderland.ac.uk,MSc Cybersecurity,FT,2025,International equivalent,57.0,2026-07-09T00:00:00Z
93,George,Silva,sm1vwi@student.sunderland.ac.uk,MSc Computer Science with Cyber Security,FT,2025,International equivalent,58.8,2026-07-09T00:00:00Z
94,Vikram,Popescu,d1wv6g@student.sunderland.ac.uk,MSc Cybersecurity,FT,2025,2:1,65.9,2026-07-09T00:00:00Z
95,Fatima,Wang,v3l0i7@student.sunderland.ac.uk,MSc Cybersecurity,FT,2025,2:1,64.2,2026-07-09T00:00:00Z
96,Sofia,Zhang,magpuc@student.sunderland.ac.uk,MSc Computer Science with Cyber Security,FT,2025,2:1,63.5,2026-07-09T00:00:00Z
97,Sofia,Fernandez,w5iagl@student.sunderland.ac.uk,MSc Applied Cybersecurity,FT,2025,2:2,56.4,2026-07-09T00:00:00Z
98,Miguel,Zhang,jdwpfg@student.sunderland.ac.uk,MSc Data Science,FT,2025,2:1,71.8,2026-07-09T00:00:00Z
99,Adam,Sharma,a7xrjo@student.sunderland.ac.uk,MSc Computer Science with Cyber Security,FT,2025,International equivalent,65.6,2026-07-09T00:00:00Z
100,Adam,Muller,jyj5xw@student.sunderland.ac.uk,MSc Computer Science,FT,2025,International equivalent,67.6,2026-07-09T00:00:00Z
101,Hana,Begum,nddce6@student.sunderland.ac.uk,MSc Cybersecurity,FT,2025,First,76.1,2026-07-09T00:00:00Z
102,Adaeze,White,zsuj9x@student.sunderland.ac.uk,MSc Data Science,FT,2025,International equivalent,57.8,2026-07-09T00:00:00Z
103,Aisha,White,hpl8cm@student.sunderland.ac.uk,MSc Computer Science with Data Science,FT,2025,2:2,57.6,2026-07-09T00:00:00Z
104,Lukas,Fraser,p7sd5k@student.sunderland.ac.uk,MSc Computer Science,PT,2025,2:2,49.5,2026-07-09T00:00:00Z
105,Hana,Wright,qykrqb@student.sunderland.ac.uk,MSc Applied Cybersecurity,PT,2025,International equivalent,60.5,2026-07-09T00:00:00Z
106,Sofia,Davies,cqk0mq@student.sunderland.ac.uk,MSc Computer Science,FT,2025,2:1,68.4,2026-07-09T00:00:00Z
107,Olivia,Martinez,rv4si8@student.sunderland.ac.uk,MSc Data Science,FT,2025,2:1,57.8,2026-07-09T00:00:00Z
108,Minh,Martinez,ht9lcx@student.sunderland.ac.uk,MSc Cybersecurity,PT,2025,2:1,62.4,2026-07-09T00:00:00Z
109,Jack,Eze,n79ayh@student.sunderland.ac.uk,MSc Applied Cybersecurity,FT,2025,2:2,53.6,2026-07-09T00:00:00Z
110,Yasmin,Popescu,n6lq25@student.sunderland.ac.uk,MSc Cybersecurity,FT,2025,2:1,65.5,2026-07-09T00:00:00Z
111,Lucy,Yang,qljkzj@student.sunderland.ac.uk,MSc Cybersecurity,FT,2025,First,79.6,2026-07-09T00:00:00Z
112,Charlotte,Murphy,zah7nt@student.sunderland.ac.uk,MSc Computer Science with Cyber Security,FT,2025,2:1,62.0,2026-07-09T00:00:00Z
113,Kwame,Smith,p5c2l4@student.sunderland.ac.uk,MSc Computer Science with Data Science,FT,2025,2:1,63.2,2026-07-09T00:00:00Z
114,Harry,Ali,qd0jkv@student.sunderland.ac.uk,MSc Computer Science,FT,2025,2:1,63.7,2026-07-09T00:00:00Z
115,Li,Zhang,bm42s0@student.sunderland.ac.uk,MSc Computer Science,FT,2025,International equivalent,54.9,2026-07-09T00:00:00Z
116,Zara,Patel,vztiuz@student.sunderland.ac.uk,MSc Cybersecurity,FT,2025,2:1,67.3,2026-07-09T00:00:00Z
117,Ella,Muller,esesx7@student.sunderland.ac.uk,MSc Computer Science,FT,2025,International equivalent,72.0,2026-07-09T00:00:00Z
118,Jack,Le,qh7xqp@student.sunderland.ac.uk,MSc Applied Cybersecurity,FT,2025,International equivalent,58.1,2026-07-09T00:00:00Z
119,Omar,White,bhli7b@student.sunderland.ac.uk,MSc Computer Science,FT,2025,2:1,66.7,2026-07-09T00:00:00Z
120,Arjun,Lopez,lgxq4s@student.sunderland.ac.uk,MSc Data Science,PT,2025,2:1,60.2,2026-07-09T00:00:00Z
121,Olivia,Li,fiju80@student.sunderland.ac.uk,MSc Computer Science,FT,2025,First,65.6,2026-07-09T00:00:00Z
122,Hao,Sharma,eutmvm@student.sunderland.ac.uk,MSc Computer Science with Cyber Security,FT,2025,2:1,64.6,2026-07-09T00:00:00Z
123,Sophie,Okafor,q3vdmv@student.sunderland.ac.uk,MSc Cybersecurity,FT,2025,2:1,62.1,2026-07-09T00:00:00Z
124,Sneha,Yang,qkulsa@student.sunderland.ac.uk,MSc Computer Science with Data Science,FT,2025,International equivalent,71.1,2026-07-09T00:00:00Z
125,Andrei,Rodriguez,s180n2@student.sunderland.ac.uk,MSc Computer Science with Cyber Security,FT,2025,First,72.8,2026-07-09T00:00:00Z
126,Diego,Lopez,sj6vrv@student.sunderland.ac.uk,MSc Computer Science with Cyber Security,PT,2025,2:1,67.0,2026-07-09T00:00:00Z
127,Divya,Park,rr3kb8@student.sunderland.ac.uk,MSc Computer Science,PT,2025,International equivalent,57.2,2026-07-09T00:00:00Z
128,Kwame,Ali,jabcsq@student.sunderland.ac.uk,MSc Data Science,FT,2025,2:1,62.5,2026-07-09T00:00:00Z
129,Isabela,Eze,po4dnh@student.sunderland.ac.uk,MSc Applied Cybersecurity,FT,2025,First,67.5,2026-07-09T00:00:00Z
130,Kwame,Costa,ybftqe@student.sunderland.ac.uk,MSc Applied Cybersecurity,FT,2025,First,78.6,2026-07-09T00:00:00Z
131,Mohammed,Zhao,hkqqkj@student.sunderland.ac.uk,MSc Applied Cybersecurity,FT,2025,2:1,66.6,2026-07-09T00:00:00Z
132,Sneha,Zhao,epkjp2@student.sunderland.ac.uk,MSc Data Science,FT,2025,2:2,56.7,2026-07-09T00:00:00Z
133,Katarzyna,Zhao,a8wzx0@student.sunderland.ac.uk,MSc Data Science,PT,2025,International equivalent,67.7,2026-07-09T00:00:00Z
134,Noah,Kelly,wai9zy@student.sunderland.ac.uk,MSc Applied Cybersecurity,FT,2025,2:1,71.2,2026-07-09T00:00:00Z
135,Charlotte,Ivanov,nqzz1z@student.sunderland.ac.uk,MSc Computer Science,FT,2025,International equivalent,52.6,2026-07-09T00:00:00Z
136,Hana,Pham,awusha@student.sunderland.ac.uk,MSc Computer Science with Cyber Security,FT,2025,2:1,64.3,2026-07-09T00:00:00Z
137,Harry,Stewart,jokr8w@student.sunderland.ac.uk,MSc Computer Science,FT,2025,First,78.6,2026-07-09T00:00:00Z
138,Yan,White,a492ty@student.sunderland.ac.uk,MSc Cybersecurity,FT,2025,International equivalent,62.0,2026-07-09T00:00:00Z
139,Piotr,Hussain,yvo1xu@student.sunderland.ac.uk,MSc Data Science,FT,2025,International equivalent,64.5,2026-07-09T00:00:00Z
140,Ananya,Wang,civkon@student.sunderland.ac.uk,MSc Computer Science with Data Science,PT,2025,2:1,67.8,2026-07-09T00:00:00Z
141,Duc,Reddy,ry96v4@student.sunderland.ac.uk,MSc Cybersecurity,PT,2025,International equivalent,64.7,2026-07-09T00:00:00Z
142,Yan,Nguyen,gousym@student.sunderland.ac.uk,MSc Computer Science,PT,2025,2:2,55.7,2026-07-09T00:00:00Z
143,Jack,Patel,ansnf4@student.sunderland.ac.uk,MSc Computer Science,FT,2025,First,72.3,2026-07-09T00:00:00Z
144,Emily,Kelly,r4ecbd@student.sunderland.ac.uk,MSc Applied Cybersecurity,FT,2025,2:1,64.2,2026-07-09T00:00:00Z
145,Grace,Jones,cac6gt@student.sunderland.ac.uk,MSc Data Science,PT,2025,2:2,59.4,2026-07-09T00:00:00Z
146,Adam,Walker,oajyiq@student.sunderland.ac.uk,MSc Computer Science with Cyber Security,FT,2025,International equivalent,57.6,2026-07-09T00:00:00Z
147,Charlotte,Silva,od2crv@student.sunderland.ac.uk,MSc Computer Science with Cyber Security,FT,2025,2:1,63.1,2026-07-09T00:00:00Z
148,Sophie,Nair,o4wi8a@student.sunderland.ac.uk,MSc Computer Science,FT,2025,2:2,62.2,2026-07-09T00:00:00Z
149,Thomas,Fernandez,f5n63t@student.sunderland.ac.uk,MSc Data Science,FT,2025,First,77.1,2026-07-09T00:00:00Z
150,Nadia,Muller,hef3vg@student.sunderland.ac.uk,MSc Computer Science with Data Science,FT,2025,International equivalent,68.4,2026-07-09T00:00:00Z
151,Katarzyna,Hughes,pp87ia@student.sunderland.ac.uk,MSc Data Science,FT,2025,2:2,56.1,2026-07-09T00:00:00Z
152,Noah,Roberts,qm9ypv@student.sunderland.ac.uk,MSc Computer Science with Data Science,FT,2025,First,75.7,2026-07-09T00:00:00Z
153,Samuel,Burns,sb0wqj@student.sunderland.ac.uk,MSc Computer Science with Data Science,FT,2025,International equivalent,59.1,2026-07-09T00:00:00Z
154,Sneha,Eze,varz6d@student.sunderland.ac.uk,MSc Computer Science with Data Science,FT,2025,2:1,61.4,2026-07-09T00:00:00Z
155,Somchai,Chen,xp7d6l@student.sunderland.ac.uk,MSc Computer Science,FT,2025,First,79.8,2026-07-09T00:00:00Z
156,Jun,Huang,tqqy3k@student.sunderland.ac.uk,MSc Computer Science with Cyber Security,FT,2025,First,72.7,2026-07-09T00:00:00Z
157,Ngozi,Okafor,ijm5fw@student.sunderland.ac.uk,MSc Data Science,FT,2025,International equivalent,60.6,2026-07-09T00:00:00Z
158,Adam,Kowalski,du6qil@student.sunderland.ac.uk,MSc Cybersecurity,FT,2025,2:2,53.5,2026-07-09T00:00:00Z
159,Layla,Taylor,yjrl8i@student.sunderland.ac.uk,MSc Cybersecurity,FT,2025,First,86.5,2026-07-09T00:00:00Z
160,Diego,Fraser,rac0g4@student.sunderland.ac.uk,MSc Applied Cybersecurity,FT,2025,2:2,52.6,2026-07-09T00:00:00Z
161,Adam,Davies,h7y9pi@student.sunderland.ac.uk,MSc Computer Science,FT,2025,International equivalent,67.0,2026-07-09T00:00:00Z
162,Rafael,Huang,bg262r@student.sunderland.ac.uk,MSc Cybersecurity,FT,2025,2:1,57.4,2026-07-09T00:00:00Z
163,Mohammed,Okafor,dvkyh5@student.sunderland.ac.uk,MSc Applied Cybersecurity,FT,2025,2:1,65.7,2026-07-09T00:00:00Z
164,Nok,White,r2ucmk@student.sunderland.ac.uk,MSc Computer Science,FT,2025,2:1,64.7,2026-07-09T00:00:00Z
165,Ngozi,MacDonald,lwfxyk@student.sunderland.ac.uk,MSc Computer Science,FT,2025,2:2,63.0,2026-07-09T00:00:00Z
166,Samuel,Liu,qu47lr@student.sunderland.ac.uk,MSc Cybersecurity,FT,2025,First,75.1,2026-07-09T00:00:00Z
167,Thomas,Brown,izmm8f@student.sunderland.ac.uk,MSc Computer Science,FT,2025,2:1,67.9,2026-07-09T00:00:00Z
168,Nadia,MacDonald,eeg33i@student.sunderland.ac.uk,MSc Data Science,FT,2025,2:1,64.7,2026-07-09T00:00:00Z
169,Isabela,Johnson,bvze4d@student.sunderland.ac.uk,MSc Data Science,FT,2025,International equivalent,64.0,2026-07-09T00:00:00Z
170,Vikram,Taylor,asowgz@student.sunderland.ac.uk,MSc Computer Science,FT,2025,2:1,63.4,2026-07-09T00:00:00Z
171,Harry,Murphy,z2yux4@student.sunderland.ac.uk,MSc Applied Cybersecurity,FT,2025,First,67.8,2026-07-09T00:00:00Z
172,Sophie,Johnson,q95f6r@student.sunderland.ac.uk,MSc Computer Science with Cyber Security,FT,2025,2:1,68.3,2026-07-09T00:00:00Z
173,Hannah,Ivanov,xpltwx@student.sunderland.ac.uk,MSc Cybersecurity,FT,2025,2:1,66.9,2026-07-09T00:00:00Z
174,Chiamaka,Popescu,nw2mjm@student.sunderland.ac.uk,MSc Computer Science with Cyber Security,FT,2025,2:1,62.9,2026-07-09T00:00:00Z
175,Zara,Iyer,eun4qv@student.sunderland.ac.uk,MSc Computer Science,FT,2025,International equivalent,57.8,2026-07-09T00:00:00Z
176,Lucy,Chowdhury,sw3ar1@student.sunderland.ac.uk,MSc Cybersecurity,FT,2025,2:1,63.7,2026-07-09T00:00:00Z
177,Hana,Kowalski,j2kduz@student.sunderland.ac.uk,MSc Cybersecurity,FT,2025,2:1,59.2,2026-07-09T00:00:00Z
178,Fatima,Jones,kywwx8@student.sunderland.ac.uk,MSc Computer Science with Data Science,FT,2025,First,68.7,2026-07-09T00:00:00Z
179,Zainab,Fernandez,f1qi6n@student.sunderland.ac.uk,MSc Computer Science with Cyber Security,FT,2025,2:1,65.8,2026-07-09T00:00:00Z
180,Jin,Huang,ur47z7@student.sunderland.ac.uk,MSc Computer Science with Data Science,FT,2025,2:2,51.3,2026-07-09T00:00:00Z
181,Sneha,Silva,klt794@student.sunderland.ac.uk,MSc Cybersecurity,FT,2025,2:1,69.5,2026-07-09T00:00:00Z
182,Tunde,Sharma,uubmah@student.sunderland.ac.uk,MSc Computer Science with Cyber Security,FT,2025,First,77.4,2026-07-09T00:00:00Z
183,Valentina,Thomas,ityaqc@student.sunderland.ac.uk,MSc Data Science,FT,2025,International equivalent,68.7,2026-07-09T00:00:00Z
184,Li,Hussain,j55ozo@student.sunderland.ac.uk,MSc Computer Science,FT,2025,International equivalent,58.4,2026-07-09T00:00:00Z
185,Sneha,Nowak,cv9zni@student.sunderland.ac.uk,MSc Data Science,FT,2025,2:1,67.6,2026-07-09T00:00:00Z
186,Rafael,White,ezpy3e@student.sunderland.ac.uk,MSc Computer Science,FT,2025,2:1,65.1,2026-07-09T00:00:00Z
187,Divya,Adeyemi,xyfm2p@student.sunderland.ac.uk,MSc Computer Science with Data Science,FT,2025,2:1,63.2,2026-07-09T00:00:00Z
188,Yan,Tran,r4vi0h@student.sunderland.ac.uk,MSc Cybersecurity,PT,2025,2:1,65.5,2026-07-09T00:00:00Z
189,Aisha,Thompson,wpjwqy@student.sunderland.ac.uk,MSc Computer Science with Data Science,FT,2025,2:1,68.1,2026-07-09T00:00:00Z
190,Lukas,Rodriguez,j9prpq@student.sunderland.ac.uk,MSc Data Science,FT,2025,First,79.1,2026-07-09T00:00:00Z
191,Fatima,Khan,r2t334@student.sunderland.ac.uk,MSc Cybersecurity,FT,2025,First,76.3,2026-07-09T00:00:00Z
192,Leo,Roberts,vspbh7@student.sunderland.ac.uk,MSc Computer Science,FT,2025,International equivalent,58.7,2026-07-09T00:00:00Z
193,Ananya,Le,ijot0m@student.sunderland.ac.uk,MSc Computer Science,FT,2025,2:1,63.1,2026-07-09T00:00:00Z
194,Ahmed,Martinez,duphqn@student.sunderland.ac.uk,MSc Computer Science with Data Science,FT,2025,First,64.1,2026-07-09T00:00:00Z
195,Anh,Novak,cagctv@student.sunderland.ac.uk,MSc Computer Science,FT,2025,2:2,59.3,2026-07-09T00:00:00Z
196,Valentina,Yang,awjfe6@student.sunderland.ac.uk,MSc Applied Cybersecurity,PT,2025,2:1,66.6,2026-07-09T00:00:00Z
